"Story","Title","Result","Date","Stability","Duration (s)"
"Students CRUD test","This test will create a new student","SUCCESS","2018-10-08T21:46:30.465-03:00[America/Sao_Paulo]","0.0","5.41"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2018-10-08T21:46:36.461-03:00[America/Sao_Paulo]","0.0","1.7"
"Students CRUD test","Update the user information and verify updated information","SUCCESS","2018-10-08T21:46:38.167-03:00[America/Sao_Paulo]","0.0","0.61"
"Students CRUD test","Delete a student and verify if the student is deleted","SUCCESS","2018-10-08T21:46:38.79-03:00[America/Sao_Paulo]","0.0","0.35"
"Tags test","This test will provide and error code of 400 when user trying to access an invalide resource","SUCCESS","2018-10-08T21:46:41.718-03:00[America/Sao_Paulo]","0.0","0.25"
"Tags test","Provide 405 Status code when incorrect HTTP method is used to access a resource","SUCCESS","2018-10-08T21:46:41.971-03:00[America/Sao_Paulo]","0.0","0.25"
"Tags test","This test will verify if a status code of 200 is returned for a GET request","SUCCESS","2018-10-08T21:46:42.224-03:00[America/Sao_Paulo]","0.0","0.25"
"Create student data driven test","Data Driven Test for adding multiple students to the student App","SUCCESS","2018-10-08T21:47:01.645-03:00[America/Sao_Paulo]","0.0","2.9"
"First serenity test","This test will get the information of all the students n the student App","SUCCESS","2018-10-08T21:47:02.443-03:00[America/Sao_Paulo]","0.0","0.34"
"First serenity test","Get all students","SUCCESS","2018-10-08T21:47:04.075-03:00[America/Sao_Paulo]","0.0","0.21"
